Name,Height,Weight
Peter_Wakefield_(boxer),1.63,47000.0
Petro_Nakonechnyi,1.77,70000.0
Pacôme_Assi,1.87,95000.0
Paea_Wolfgramm,1.85,140000.0
Pamorn_Martdee,1.76,66000.0
Pat_Barry_(kickboxer),1.8,104800.0
Patrice_Quarteron,1.98,117028.8
Phil_Nurse,1.7018,64864.8
Philip_Waruinge,1.7,57000.0
Pichai_Sayotha,1.72,60000.0
Pietro_Aurino,1.8,81000.0
Pinki_Rani,1.54,51000.0
Pornchai_Thongburan,1.73,71000.0
Priest_West,1.84,82000.0
Primo_Zamparini,1.58,54000.0
Pál_Bedák,1.56,52000.0
Pál_Lakatos,1.62,48000.0
Péter_Varga,1.86,104328.0
Oh_Kwang-soo,1.67,48000.0
Ole_Svendsen,1.73,67000.0
Oleg_Saitov,1.78,69000.0
Oleh_Kyryukhin,1.61,48000.0
Oleksandr_Klyuchko,1.7,60000.0
Oleksandr_Zubrihin,1.8,75000.0
Oleksiy_Mazikin,1.96,115000.0
Olexandr_Stretskyy,1.81,69000.0
Olle_Tandberg,1.9,79000.0
Olzhas_Orazaliyev,1.82,81000.0
Ondřej_Hutník,1.88,95000.0
Onur_Şipal,1.7,60000.0
Orlando_Martínez,1.67,54000.0
Osmay_Acosta,1.88,91000.0
Otis_Grant,1.77,73000.0
Yuri_Bessmertny,1.82,73000.0
Yushan_Nijiati,1.88,91000.0
Yusuf_Öztürk_(boxer),1.84,81000.0
Yuta_Kubo,1.75,63000.0
Yakup_Kılıç,1.77,57000.0
Yakup_Şener,1.7,64000.0
Yan_Bartelemí,1.72,48000.0
Yang_Xiangzhong,1.65,48000.0
Yasuhiro_Kido,1.86,70000.0
Yaşar_Giritli,1.55,48000.0
Yenebier_Guillén,1.7,75000.0
Yerkebulan_Shynaliyev,1.78,81000.0
Yermakhan_Ibraimov,1.8,71000.0
Yetkin_Özkul,1.68,61200.0
Yoann_Kongolo,1.77,77000.0
Yohan_Lidon,1.8,75000.0
Yosvani_Aguilera,1.63,54000.0
Francisco_Rodríguez_(boxer,_born_1945),1.74,59875.2
Franco_Valle,1.77,75000.0
Frank_Giorgi,1.75,70000.0
Fred_Evans_(boxer),1.9,69000.0
Freddy_Kemayo,1.87,100000.0
Furkan_Ulaş_Memiş,1.67,51000.0
Fabio_Pinca,1.75,67000.0
Faisal_Zakaria,1.93,105000.0
Farid_Villaume,1.8,72000.0
Farinaz_Lari,1.66,52000.0
Fatih_Keleş,1.75,60000.0
Ferhat_Pehlivan,1.68,49000.0
Fernando_Atzori,1.58,51000.0
Firpo_Segura,1.69,89000.0
Fletcher_Kapito,1.73,69000.0
France_Mabiletsa,1.85,80000.0
Chaz_Mulkey,1.8542,69854.4
Chidi_Njokuani,1.9,77100.0
Chike_Lindsay,1.8,70000.0
Cho_Deok-jin,1.78,75000.0
Chris_Garner_(kickboxing),1.8,69800.0
Christophe_Mendy,1.9,91000.0
Christopher_Camat,1.75,75000.0
Christopher_Downs,1.8288,80740.8
Claressa_Shields,1.778,74844.0
Claudio_Istrate,1.86,96000.0
Claudio_Rîșco,1.96,81000.0
Cletus_Seldin,1.7018,63504.0
Clifton_Brown,1.85,82550.0
Clyde_Brunswijk,1.9,81000.0
Con_O'Kelly,1.905,99792.0
Constantin_Țuțu,1.8,84000.0
Corneliu_Rus,1.89,100000.0
Cosmo_Alexandre,1.85,75000.0
Cristian_Milea,1.78,70000.0
Cristian_Spetcu,1.69,63500.0
Csaba_Kuzma,1.82,81000.0
Curtis_Bush,1.83,69000.0
Curtis_Schuster,1.82,104000.0
Caley_Reece,1.68,56700.0
Carlos_Banteux,1.74,69000.0
Carlos_Barreto,1.73,54000.0
Carlos_Tamara,1.65,48000.0
Carter_Williams,1.85,113000.0
Ceferino_Labarda,1.64,54000.0
Charles_Brown_(boxer),1.68,72000.0
Charles_François_(kickboxer),1.79,65000.0
Umar_Semata,1.7,69000.0
Utkirbek_Haydarov,1.86,72000.0
Łukasz_Jarosz,1.82,100000.0
Jerson_Ravelo,1.8796,119000.0
Jerzy_Adamski,1.71,58000.0
Jerzy_Kulej,1.67,66000.0
Jesper_Garnell,1.75,60000.0
Jesse_Hart,1.8796,76204.8
Jesse_Ross,1.88,76000.0
Jesus_Martinez_(fighter),1.778,84369.6
Jesús_Guevara,1.76,95000.0
Jesús_Martínez_(boxer),1.63,48000.0
Jeyhun_Abiyev,1.63,48000.0
Jim_Colombo,1.88,93000.0
Jo_Seok-hwan,1.7,54000.0
Joachim_Alcine,1.8034,72576.0
Jochen_Bachfeld,1.72,54000.0
Joe_Schilling,1.91,84000.0
Johan_Linde,1.99,107000.0
Johann_Fauveau,1.78,70000.0
Johanna_Peña_Álvarez,1.6256,112000.0
John_Dovi,1.81,81000.0
James_Phillips_(kickboxer),1.9,86000.0
James_Wallington,1.8,63000.0
Jamie_Pittman,1.86,75000.0
Jan_Lomulder,1.8288,86002.56
Jaroslavas_Jakšto,1.94,101000.0
Jarrell_Miller,1.9304,123379.2
