Name,Height,Weight
Ekaterina_Kosianenko,1.78,64000.0
Ekaterina_Krivets,1.93,74000.0
Eleardo_Cabrera,1.86,87000.0
Elena_Chebukina,1.88,77000.0
Eleonora_Dziękiewicz,1.85,78000.0
Elia_Bossi,2.02,91000.0
Elif_Onur,1.85,67000.0
Elina_Rodríguez,1.89,72000.0
Elisheba_Chepkemboi,1.8,62000.0
Elnis_Palomino,1.94,94000.0
Els_Vandesteene,1.84,70000.0
Elsa_Baquerizo,1.81,68000.0
Elvis_Contreras,1.9,77000.0
Elvis_Pascual,1.9,72000.0
Elviss_Krastins,1.92,84000.0
Elwyn_Oxley,1.85,85000.0
Elyes_Garfi,2.02,90000.0
Elyes_Karamosli,1.94,83000.0
Emanuel_Batista,1.87,68000.0
Emanuel_Kohút,2.06,97000.0
Emanuele_Birarelli,2.02,95000.0
Emerson_Isajar,1.95,83000.0
Emerson_Rodríguez,2.02,90000.0
Emesselene_Bebine,1.89,82000.0
Emilce_Sosa,1.77,75000.0
Emiliya_Nikolova,1.85,59000.0
Emily_Hartong,1.87,75000.0
Emmanuel_Ragondet,1.91,77000.0
Emre_Batur,2.01,89000.0
Emre_Senol,2.01,80000.0
Ender_Kidoglu,1.98,88000.0
Enderwuin_Herrera,1.9,80000.0
Enmanuel_Lara,1.95,92000.0
Ennajie_Laure,1.7526,58000.0
Enrico_Cester,2.02,93000.0
Enrique_Ugalde_Campo,1.9,76000.0
Enrique_de_la_Fuente,1.95,92000.0
Earvin_N'Gapeth,1.94,93000.0
Erasmo_Salemme,1.92,84000.0
Eri_Hosoda,1.75,66000.0
Erik_Rojo,1.84,78000.0
Erik_Shoji,1.84,83000.0
Erika_Araki,1.86,80000.0
Erika_Mota,1.9,89000.0
Ernardo_Gómez,1.95,90000.0
Ernestine_Tiamzon,1.76,56800.0
Esther_Eba'a_Mballa,1.78,71000.0
Eugen_Bakumovski,1.93,90000.0
Eurico_Peixoto,1.91,85000.0
Evan_Patak,2.032,113000.0
Evandro_Guerra,2.07,103000.0
Evgeni_Ivanov_(volleyball),2.1,98000.0
Evgeny_Dragunov_(volleyball),1.9,95000.0
Evgeny_Sivozhelez,1.96,90000.0
Ewoud_Gommans,2.02,89000.0
Extensa_Barbaro,1.78,70000.0
Ezequiel_Cruz,1.93,88000.0
Ezequiel_Palacios,2.02,89000.0
Ezgi_Dilik,1.7,68000.0
Zaira_Orellana,1.83,63000.0
Zara_Dampney,1.778,65000.0
Zbigniew_Bartman,1.98,91000.0
Zdeněk_Haník,1.78,80000.0
Zdeněk_Kaláb,2.03,103000.0
Zeljko_Nojić,1.82,80000.0
Zeng_Chunlei,1.9,69000.0
Zhan_Guojun,1.97,91000.0
Zhang_Chen_(volleyball),2.0,89000.0
Zhang_Xian_(volleyball),1.67,57000.0
Zhang_Xiaodong_(volleyball),2.03,75000.0
Zhang_Xiaoting,1.85,69000.0
Zhang_Xiaoyu_(volleyball),1.9,80000.0
Zhang_Zhejia,2.07,84000.0
Zhao_Yichen,1.95,80000.0
Zhaxsylyk_Tleulin,2.0,85000.0
Zheng_Liang,2.01,83000.0
Zhong_Weijun,2.0,83000.0
Zhou_Suhong,1.82,73000.0
Zhou_Yuan,1.8,65000.0
Zlatan_Yordanov,2.0,94000.0
Élysée_Ossosso,1.88,86000.0
Lucía_Gaido,1.64,53000.0
Ludmil_Naydenov,1.94,84000.0
Ludovic_Castard,1.97,95000.0
Ludovico_Dolfo,1.95,87000.0
Luigi_Mastrangelo,2.02,90000.0
Luigi_Randazzo,1.98,97000.0
Luis_Adamés,1.92,72000.0
Luis_Arias_(volleyball),196.0,87000.0
Luis_Estrada_(volleyball),1.99,90000.0
Luis_Jimeno,1.97,92000.0
Luis_Lukach,1.96,85000.0
Luis_Mieres,1.96,78000.0
Luis_Pessoa,2.0,78000.0
Luis_Sosa_(volleyball),1.96,76000.0
Luis_Sousa_Pinto,1.88,80000.0
Luis_Sánchez_(volleyball),1.75,82000.0
Luiz_Felipe_Fonteles,1.98,96000.0
Luka_Babic_(volleyball),2.11,105000.0
Lukas_Bauer_(volleyball),2.02,94000.0
Lukas_Kampa,1.95,90000.0
Lukas_Van_Berkel,2.1,108000.0
Lukas_Weber,1.85,78000.0
Lukáš_Diviš,2.01,91000.0
Lukáš_Ticháček,1.93,84000.0
Lynda_Morales,1.88,94000.0
Lyubomir_Ganev,2.1,99000.0
Lyubov_Tyurina,1.81,75000.0
Lyudmila_Buldakova,1.7018,66225.6
Lyudmila_Issayeva,1.84,70000.0
Laetitia_Moma_Bassoko,1.84,81000.0
Larisa_Bergen,1.524,67132.8
Larissa_França,1.74,68000.0
Larissa_Souza,1.86,64000.0
Larry_Sulbaran,1.92,86000.0
Lars_Lorsheijd,2.0,97000.0
Laura_Dijkema,1.84,68000.0
Laura_Heyrman,1.86,73000.0
Laura_Unternährer,1.79,70000.0
Laura_Weihenmaier,1.8,70000.0
Laurel_Abrahamson,1.93,82000.0
Laurent_Tillie,1.93,83000.0
Lavmeet_Katariya,0.0,88000.0
Lazaro_Beltran_Rizo,1.9,86000.0
Lazaro_Fundora,1.95,90000.0
Lazaro_Marin,1.98,91000.0
Leandro_Araújo_da_Silva,2.05,94000.0
Leandro_Concina,196.0,94000.0
Leandro_Macías,1.92,70000.0
Leandro_Vissotto,2.14,98000.0
Lee_Hyung-doo,1.9,76000.0
Lee_Kang-joo,1.85,75000.0
Lee_Kang-won,1.98,91000.0
Lee_Kyung-suk,1.88,86000.0
Lee_Min-gyu,1.94,78000.0
Lee_Sang-yeol,1.95,90000.0
Lee_Sun-kyu,1.99,90000.0
Leigh-Ann_Naidoo,1.81,70000.0
Lena_Ustymenko,1.92,78000.0
Lenka_Dürr,1.71,59000.0
Leobardo_Cabrera,1.9,88000.0
Leonardo_Aquino,1.88,82000.0
Leonardo_Cruz_Miranda,1.98,93000.0
Leonardo_Leyva,2.06,73000.0
