Name,Height,Weight
Velimir_Radinović,2.12,113000.0
Venson_Hamilton,2.0701,115668.0
Vergel_Meneses,1.905,88452.0
Vern_Fleming,1.9558,83916.0
Vern_Gardner,1.9558,90720.0
Vern_Mikkelsen,2.0066,104328.0
Vernon_Goodridge,2.0574,109771.2
Vernon_Hamilton,1.8542,88452.0
Vernon_Hatton,1.905,88452.0
Vernon_Macklin,2.0827999999999998,102967.2
Vernon_Maxwell,1.9304,81648.0
Vesa_Mäkäläinen,1.99898,94802.4
Veselin_Petrović_(basketball),1.96,109000.0
Viacheslav_Kravtsov,2.1336,115214.4
Vic_Bartolome,2.1336,104328.0
Vic_Manuel,1.9304,94348.8
Vickie_Johnson,1.7526,68040.0
Victor_Alexander,2.0574,120204.0
Victor_Keyru,2.00025,102060.0
Victor_Khryapa,2.0574,106596.0
Victor_Muzadi,2.01,102000.0
Victor_Oladipo,1.9304,95256.0
Victor_Pablo,1.9304,90720.0
Victoria_Macaulay,1.9304,74844.0
Vidas_Ginevičius,1.9304,92988.0
Viktor_Pankrashkin,2.2,112000.0
Viktor_Sanikidze,2.032,99792.0
Viljar_Veski,2.159,108864.0
Ville_Kaunisto,2.032,104328.0
Ville_Pekkola,1.905,87091.2
Vilmantas_Dilys,2.08,104000.0
Vin_Baker,2.1082,105235.2
Vince_Boryla,1.9558,95256.0
Vince_Carter,1.9812,99792.0
Vince_Hizon,1.8796,81648.0
Vince_Hunter,2.032,94348.8
Vince_Taylor_(basketball),1.9558,81648.0
Vincent_Askew,1.9812,106596.0
Vincent_Council,1.8796,81648.0
Vincent_Grier,1.9558,93895.2
Vincent_Yarbrough,2.0066,95256.0
Vinnie_Johnson,1.8796,90720.0
Vinny_Del_Negro,1.9304,85730.4
Vinícius_Bristott,1.9304,102967.2
Virginijus_Praškevičius,2.0574,100245.6
Vitalis_Chikoko,2.0827999999999998,90720.0
Vitaly_Potapenko,2.0827999999999998,127008.0
Vlad_Dogaru,1.8542,79833.6
Vlad_Dumitrescu,1.905,86184.0
Vlad_Moldoveanu,2.0574,104781.6
Vlad_Negoitescu,2.0574,89812.8
Vladan_Vukosavljević,2.05,130000.0
Vlade_Divac,2.159,110224.8
Vladimir_Arzamaskov,1.89992,86637.6
Vladimir_Boisa,2.0827999999999998,102060.0
Vladimir_Brčkov,2.0,102000.0
Vladimir_Dašić,2.0827999999999998,106596.0
Vladimir_Dragičević,2.06,100000.0
Vladimir_Filipovic,1.96,88000.0
Vladimir_Georgievski,1.94,92988.0
Vladimir_Gerónimo,2.03,93000.0
Vladimir_Golubović,2.12,113000.0
